position,layer,auc_qid_split,auc_within_q_split,delta
prompt_last,0,0.5,0.5,0.0
prompt_last,1,0.4210772833723654,0.9069063723745105,0.48582908900214516
prompt_last,2,0.4107728337236534,0.8990744037023852,0.4883015699787318
prompt_last,3,0.4805620608899297,0.9113563545745818,0.43079429368465205
prompt_last,4,0.552224824355972,0.8988964044143823,0.34667158005841037
prompt_last,5,0.4688524590163935,0.8830544677821288,0.4142020087657353
prompt_last,6,0.5747072599531616,0.8976504093983624,0.32294314944520075
prompt_last,7,0.5826697892271663,0.884122463510146,0.3014526742829797
prompt_last,8,0.6126463700234193,0.8962264150943395,0.2835800450709203
prompt_last,9,0.6318501170960187,0.8969384122463511,0.2650882951503324
prompt_last,10,0.638407494145199,0.9083303666785333,0.26992287253333425
prompt_last,11,0.619672131147541,0.8937344250622997,0.27406229391475867
prompt_last,12,0.5878220140515222,0.9029903880384478,0.31516837398692554
prompt_last,13,0.5536299765807962,0.9040583837664649,0.3504284071856687
prompt_last,14,0.5859484777517564,0.895692417230331,0.3097439394785746
prompt_last,15,0.5466042154566744,0.9088643645425416,0.36226014908586723
prompt_last,16,0.5681498829039813,0.8985404058383766,0.3303905229343953
prompt_last,17,0.5723653395784543,0.8967604129583481,0.3243950733798938
prompt_last,18,0.5779859484777518,0.9042363830544677,0.326250434576716
prompt_last,19,0.6384074941451992,0.9067283730865074,0.2683208789413083
prompt_last,20,0.5906323185011709,0.9069063723745104,0.3162740538733395
prompt_last,21,0.6252927400468384,0.9022783908864366,0.27698565083959814
prompt_last,22,0.6871194379391101,0.9054823780704878,0.2183629401313777
prompt_last,23,0.5967213114754099,0.9067283730865078,0.3100070616110979
prompt_last,24,0.6491803278688524,0.9008543965824137,0.25167406871356135
prompt_last,25,0.5601873536299765,0.9086863652545389,0.3484990116245624
prompt_last,26,0.5526932084309134,0.9017443930224279,0.3490511845915145
prompt_last,27,0.6988290398126463,0.8921324314702742,0.1933033916576279
prompt_last,28,0.47400468384074945,0.9102883588465646,0.4362836750058151
prompt_last,29,0.488056206088993,0.9129583481666073,0.42490214207761423
prompt_last,30,0.5629976580796252,0.9143823424706301,0.3513846843910049
prompt_last,31,0.49836065573770494,0.9088643645425417,0.4105037088048368
prompt_last,32,0.4028103044496487,0.9122463510145958,0.5094360465649471
prompt_last,33,0.5606557377049181,0.9163403346386615,0.35568459693374344
prompt_last,34,0.5156908665105386,0.9010323958704166,0.385341529359878
prompt_last,35,0.46697892271662755,0.9015663937344249,0.4345874710177974
prompt_last,36,0.45807962529273993,0.9079743681025275,0.4498947428097876
answer_first,0,0.4592505854800937,0.8187967248131007,0.35954613933300705
answer_first,1,0.6058548009367681,0.8939124243503026,0.28805762341353447
answer_first,2,0.5627634660421547,0.900498398006408,0.3377349319642533
answer_first,3,0.5421545667447307,0.9143823424706301,0.3722277757258994
answer_first,4,0.4648711943793911,0.9216803132787469,0.45680911889935577
answer_first,5,0.48079625292740047,0.9133143467426131,0.43251809381521267
answer_first,6,0.5065573770491804,0.9254182983268067,0.4188609212776263
answer_first,7,0.42740046838407497,0.9147383410466359,0.4873378726625609
answer_first,8,0.5519906323185011,0.9072623709505162,0.3552717386320151
answer_first,9,0.4779859484777518,0.9177643289426843,0.43977838046493256
answer_first,10,0.6344262295081968,0.9081523673905305,0.2737261378823337
answer_first,11,0.46159250585480094,0.9172303310786757,0.45563782522387475
answer_first,12,0.5276346604215456,0.9127803488786045,0.3851456884570589
answer_first,13,0.4985948477751756,0.902812388750445,0.4042175409752694
answer_first,14,0.48969555035128803,0.9197223211107156,0.4300267707594276
answer_first,15,0.45878220140515225,0.906372374510502,0.44759017310534976
answer_first,16,0.5206088992974238,0.9131363474546103,0.39252744815718643
answer_first,17,0.5079625292740046,0.9188323246707013,0.41086979539669666
answer_first,18,0.4915690866510538,0.9172303310786757,0.4256612444276219
answer_first,19,0.48688524590163934,0.921502313990744,0.43461706808910466
answer_first,20,0.5215456674473067,0.9115343538625845,0.38998868641527784
answer_first,21,0.5088992974238876,0.9138483446066216,0.40494904718273395
answer_first,22,0.598360655737705,0.9118903524385903,0.31352969670088526
answer_first,23,0.5056206088992974,0.9348522605909577,0.42923165169166033
answer_first,24,0.49203747072599535,0.9362762548949805,0.4442387841689851
answer_first,25,0.49484777517564393,0.9350302598789606,0.44018248470331667
answer_first,26,0.4461358313817331,0.9231043075827697,0.47696847620103666
answer_first,27,0.5468384074941453,0.9234603061587754,0.37662189866463014
answer_first,28,0.5384074941451991,0.9261302954788181,0.387722801333619
answer_first,29,0.4756440281030444,0.91812032751869,0.4424762994156456
answer_first,30,0.4587822014051522,0.9231043075827697,0.46432210617761754
answer_first,31,0.4601873536299766,0.9170523317906728,0.4568649781606962
answer_first,32,0.39227166276346614,0.9312922748309007,0.5390206120674346
answer_first,33,0.47189695550351285,0.9248843004627981,0.4529873449592853
answer_first,34,0.44941451990632314,0.9215023139907441,0.472087794084421
answer_first,35,0.41850117096018735,0.914560341758633,0.49605917079844564
answer_first,36,0.39836065573770496,0.9182983268066928,0.5199376710689878
answer_last,0,0.35269320843091334,0.7392310430758278,0.3865378346449144
answer_last,1,0.5072599531615924,0.8332146671413315,0.3259547139797391
answer_last,2,0.4192037470725995,0.872374510501958,0.4531707634293585
answer_last,3,0.6515222482435596,0.8907084371662514,0.23918618892269172
answer_last,4,0.5494145199063232,0.9093983624065505,0.3599838425002273
answer_last,5,0.44355971896955504,0.8834104663581347,0.43985074738857965
answer_last,6,0.477751756440281,0.9140263438946244,0.43627458745434344
answer_last,7,0.624824355971897,0.9252402990388039,0.3004159430669069
answer_last,8,0.6421545667447307,0.9314702741189036,0.2893157073741729
answer_last,9,0.7175644028103045,0.9010323958704165,0.18346799306011197
answer_last,10,0.610304449648712,0.8780704877180492,0.2677660380693372
answer_last,11,0.5578454332552694,0.9142043431826272,0.35635890992735786
answer_last,12,0.6548009367681499,0.9202563189747242,0.2654553822065743
answer_last,13,0.5601873536299765,0.9304022783908864,0.3702149247609099
answer_last,14,0.5573770491803278,0.9400142399430403,0.3826371907627125
answer_last,15,0.5784543325526932,0.9152723389106443,0.3368180063579511
answer_last,16,0.6829039812646369,0.947134211463154,0.2642302301985171
answer_last,17,0.5770491803278688,0.9574581701673194,0.3804089898394506
answer_last,18,0.6009367681498828,0.950694197223211,0.3497574290733282
answer_last,19,0.6051522248243559,0.9428622285510858,0.3377100037267299
answer_last,20,0.6491803278688524,0.9419722321110716,0.29279190424221924
answer_last,21,0.7152224824355973,0.9526521893912425,0.23742970695564525
answer_last,22,0.5807962529274004,0.9417942328230688,0.3609979798956684
answer_last,23,0.6899297423887588,0.9530081879672481,0.26307844557848925
answer_last,24,0.6098360655737705,0.9471342114631541,0.33729814588938367
answer_last,25,0.6903981264637002,0.9569241723033107,0.2665260458396105
answer_last,26,0.6725995316159251,0.9686721253114987,0.2960725936955736
answer_last,27,0.5934426229508196,0.9585261658953365,0.36508354294451684
answer_last,28,0.5943793911007026,0.9588821644713421,0.3645027733706395
answer_last,29,0.6271662763466042,0.9364542541829833,0.3092879778363792
answer_last,30,0.6084309133489462,0.9234603061587754,0.3150293928098292
answer_last,31,0.6309133489461358,0.9209683161267356,0.29005496718059975
answer_last,32,0.6398126463700234,0.9458882164471343,0.30607557007711084
answer_last,33,0.6004683840749414,0.9466002135991456,0.3461318295242042
answer_last,34,0.5995316159250585,0.9377002491990032,0.33816863327394464
answer_last,35,0.6079625292740046,0.932182271270915,0.3242197419969104
answer_last,36,0.5845433255269321,0.9474902100391598,0.3629468845122277
answer_mean,0,0.3723653395784543,0.924439302242791,0.5520739626643367
answer_mean,1,0.33864168618266977,0.9182983268066927,0.5796566406240229
answer_mean,2,0.44028103044496486,0.9400142399430401,0.49973320949807526
answer_mean,3,0.46838407494145196,0.9412602349590602,0.47287616001760824
answer_mean,4,0.5925058548009368,0.9499822000711997,0.35747634527026295
answer_mean,5,0.5690866510538641,0.9318262726949093,0.3627396216410451
answer_mean,6,0.42763466042154563,0.9366322534709861,0.5089975930494405
answer_mean,7,0.6613583138173302,0.9476682093271628,0.28630989550983255
answer_mean,8,0.6332552693208431,0.953186187255251,0.31993091793440787
answer_mean,9,0.6978922716627635,0.9540761836952653,0.2561839120325018
answer_mean,10,0.7236533957845432,0.9334282662869349,0.20977487050239163
answer_mean,11,0.7044496487119438,0.9517621929512282,0.2473125442392844
answer_mean,12,0.5873536299765807,0.9617301530793877,0.374376523102807
answer_mean,13,0.5733021077283373,0.968316126735493,0.3950140190071557
answer_mean,14,0.5690866510538641,0.9722321110715557,0.4031454600176916
answer_mean,15,0.6496487119437939,0.9814880740477039,0.33183936210390996
answer_mean,16,0.677751756440281,0.9795300818796725,0.30177832543939154
answer_mean,17,0.5484777517564403,0.9791740833036668,0.43069633154722653
answer_mean,18,0.5597189695550351,0.9745461018155926,0.41482713226055756
answer_mean,19,0.5536299765807963,0.9688501245995016,0.4152201480187053
answer_mean,20,0.5339578454332553,0.9747241011035955,0.4407662556703402
answer_mean,21,0.7058548009367682,0.9686721253114987,0.2628173243747305
answer_mean,22,0.43934426229508194,0.9804200783196867,0.5410758160246047
answer_mean,23,0.4515222482435597,0.983624065503738,0.5321018172601784
answer_mean,24,0.46370023419203743,0.9798860804556782,0.5161858462636407
answer_mean,25,0.5920374707259953,0.9743681025275899,0.38233063180159454
answer_mean,26,0.5199063231850117,0.9727661089355643,0.4528597857505525
answer_mean,27,0.5428571428571429,0.9667141331434675,0.4238569902863246
answer_mean,28,0.5222482435597189,0.9718761124955501,0.4496278689358312
answer_mean,29,0.5939110070257612,0.9663581345674618,0.3724471275417006
answer_mean,30,0.6435597189695551,0.9619081523673906,0.3183484333978355
answer_mean,31,0.5156908665105386,0.966002135991456,0.4503112694809174
answer_mean,32,0.5231850117096019,0.9661801352794589,0.44299512356985704
answer_mean,33,0.4056206088992974,0.970808116767533,0.5651875078682356
answer_mean,34,0.6398126463700234,0.9818440726237095,0.3420314262536861
answer_mean,35,0.6323185011709602,0.9893200427198292,0.357001541548869
answer_mean,36,0.5653395784543326,0.9861160555357779,0.4207764770814453
